Question,Answer
Using Source Linker to attach a record to multiple ancestors,Aquí va la respuesta correspondiente
Adding people to the Family Tree through Source Linker,Aquí va la respuesta correspondiente
Using Source Linker to detach sources,Aquí va la respuesta correspondiente
Blue detach button,Aquí va la respuesta correspondiente
Yellow detach button,Aquí va la respuesta correspondiente
Determining in Source Linker if a source matches your ancestor,Aquí va la respuesta correspondiente
Editing your family tree from Source Linker,Aquí va la respuesta correspondiente
Entering a reason statement in Source Linker,Aquí va la respuesta correspondiente
How do I handle unfinished attachments in Family Tree?,Aquí va la respuesta correspondiente
Steps (website),Aquí va la respuesta correspondiente
Steps (mobile app),Aquí va la respuesta correspondiente
Related articles,Aquí va la respuesta correspondiente
Tagging sources in Source Linker,Aquí va la respuesta correspondiente
What are the different categories of tags?,Aquí va la respuesta correspondiente
A new look and feel for Source Linker,Aquí va la respuesta correspondiente
Not your family? Start a new search in Source Linker,Aquí va la respuesta correspondiente
Understanding the focus person in Source Linker,Aquí va la respuesta correspondiente
How do I know which name is the focus person?,Aquí va la respuesta correspondiente
Can I change the focus person?,Aquí va la respuesta correspondiente
Why would I change the focus person?,Aquí va la respuesta correspondiente
Understanding the Source Linker screen layout,Aquí va la respuesta correspondiente
Using drag and drop in Source Linker to organize families,Aquí va la respuesta correspondiente
If there is no matching name,Aquí va la respuesta correspondiente
Using Source Linker to attach sources,Aquí va la respuesta correspondiente
View records and Tree profiles without leaving Source Linker,Aquí va la respuesta correspondiente
Viewing the image or record from Source Linker,Aquí va la respuesta correspondiente
Viewing the image,Aquí va la respuesta correspondiente
Where to look,Aquí va la respuesta correspondiente
Viewing the source image and side panel in Source Linker,Aquí va la respuesta correspondiente
Viewing the source image,Aquí va la respuesta correspondiente
What is the difference between viewing the record and viewing the image?,Aquí va la respuesta correspondiente
Viewing the person side panel,Aquí va la respuesta correspondiente
What are record hints in Family Tree?,Aquí va la respuesta correspondiente
How do record hints help me?,Aquí va la respuesta correspondiente
What should I do with record hints?,Aquí va la respuesta correspondiente
Related articles,Aquí va la respuesta correspondiente
What are the benefits of adding sources to Family Tree?,Aquí va la respuesta correspondiente
Related articles,Aquí va la respuesta correspondiente
What is my source box?,Aquí va la respuesta correspondiente
Related articles,Aquí va la respuesta correspondiente
What to do when the names in Source Linker don't match,Aquí va la respuesta correspondiente
